School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2022-2023,1799044,Special Ed PM Run,132,Q643,Other,"240,192,411,024,277",02/17/2023 01:56:00 PM,02/17/2023 01:57:00 PM,Queens,LITTLE RICHIE BUS SERVICE,61-90 Min,0,No,No,No,02/17/2023 01:57:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2020-2021,1637176,Special Ed AM Run,1245,L618,Heavy Traffic,"19,004,193,561,965,600,000,000,000,000,000,000",09/22/2020 06:54:00 AM,09/22/2020 06:56:00 AM,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,No,Yes,09/22/2020 06:56:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1631479,General Ed PM Run,3007,K9618,Late return from Field Trip,"32,145,321,623,237,600,000",02/26/2020 01:50:00 PM,02/26/2020 02:00:00 PM,Brooklyn,LOGAN BUS COMPANY INC.,61-90 Min,0,No,No,No,02/26/2020 02:00:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1712123,Special Ed AM Run,1442,N155,Other,"401,604,839",03/30/2022 07:30:00 AM,03/30/2022 07:30:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,3,Yes,Yes,No,03/30/2022 07:30:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1675293,Special Ed AM Run,1343,Q190,Weather Conditions,25463,10/26/2021 07:39:00 AM,10/26/2021 08:02:00 AM,Queens,FIRST STEPS TRANS INC. (B2192),31-45 Min,1,Yes,Yes,No,10/26/2021 08:02:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1665556,Special Ed AM Run,43230,K346,Mechanical Problem,"140,261,700,517,448",09/28/2021 06:50:00 AM,09/28/2021 07:00:00 AM,Brooklyn,"BORO TRANSIT, INC.",46-60 Min,0,Yes,Yes,No,09/28/2021 07:00:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1681989,Special Ed AM Run,1110,L824,Heavy Traffic,"1,512,415,136,153,710,000,000,000",11/16/2021 06:41:00 AM,11/16/2021 06:43:00 AM,All Boroughs,HOYT TRANSPORTATION CORP.,31-45 Min,1,Yes,Yes,No,11/16/2021 06:43:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1679254,Special Ed AM Run,5012,K901,Heavy Traffic,"1,445,914,465",11/05/2021 07:44:00 AM,11/05/2021 07:48:00 AM,Brooklyn,L & M BUS CORP (A),46-60 Min,6,Yes,Yes,No,11/05/2021 07:48:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1702519,Special Ed AM Run,2200,N136,Other,"60,480,634,806,450",02/16/2022 06:32:00 AM,02/16/2022 06:32:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,2,Yes,Yes,No,02/16/2022 06:32:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1671689,General Ed AM Run,251104,M1495,Other,"31,630,610,006,102",10/18/2021 07:55:00 AM,10/18/2021 07:59:00 AM,Manhattan,SNT BUS INC,0-15 Min,0,No,No,No,10/18/2021 07:59:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1755856,Special Ed AM Run,41403,K136,Heavy Traffic,"174,341,752,517,528,000,000,000,000,000",10/21/2022 07:13:00 AM,10/21/2022 07:16:00 AM,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,7,No,No,No,10/21/2022 07:16:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1630811,Pre-K/EI,GVC9316,3,Heavy Traffic,C616,02/25/2020 07:26:00 AM,02/25/2020 07:27:00 AM,Bronx,"G.V.C., LTD.",16-30 Min,3,Yes,Yes,No,02/25/2020 07:27:00 AM,,01/01/1900 12:00:00 AM,Running Late,Pre-K
2019-2020,1616678,Special Ed PM Run,1478,N168,Heavy Traffic,"5,125,051,290,536,200,000",01/07/2020 01:02:00 PM,01/07/2020 01:02:00 PM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,01/07/2020 01:02:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1801362,Special Ed AM Run,1412,N580,Heavy Traffic,"23,740,281,402,821",03/03/2023 06:34:00 AM,03/03/2023 06:35:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,Yes,03/03/2023 06:35:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1793535,Special Ed AM Run,1810,L761,Heavy Traffic,"1,823,318,567,186,570,000,000,000",02/03/2023 07:00:00 AM,02/03/2023 07:02:00 AM,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,3,No,No,No,02/03/2023 07:02:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1519743,Special Ed AM Run,1472,M984,Heavy Traffic,"56,860,568,805,727",02/13/2019 07:00:00 AM,02/13/2019 07:01:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,02/13/2019 07:01:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1559813,General Ed AM Run,129,X2118,Mechanical Problem,7597,06/10/2019 06:33:00 AM,06/10/2019 06:35:00 AM,Bronx,PIONEER TRANSPORTATION CORP,46-60 Min,0,No,No,Yes,06/10/2019 06:35:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1757734,General Ed Field Trip,799,X2023,Delayed by School,7233,10/25/2022 09:05:00 AM,10/25/2022 09:06:00 AM,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,0,Yes,No,No,10/25/2022 09:06:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1631767,Pre-K/EI,1110,M40,Weather Conditions,C522,02/27/2020 07:14:00 AM,02/27/2020 07:16:00 AM,Bronx,PHILLIPS BUS SERVICE,16-30 Min,9,Yes,Yes,Yes,02/27/2020 07:16:00 AM,,01/01/1900 12:00:00 AM,Running Late,Pre-K
2018-2019,1461021,Special Ed AM Run,24662,X382,Other,12420,09/18/2018 07:47:00 AM,09/18/2018 07:48:00 AM,Bronx,VAN TRANS LLC (B2192),16-30 Min,15,Yes,Yes,Yes,09/18/2018 07:48:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1601770,Special Ed AM Run,5832,Q093,Heavy Traffic,"2,927,029,445",11/19/2019 07:30:00 AM,11/19/2019 07:31:00 AM,Queens,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,10,Yes,Yes,Yes,11/19/2019 07:31:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1525673,Special Ed AM Run,1717,Q222,Heavy Traffic,"285,412,867,928,680",03/05/2019 07:00:00 AM,03/05/2019 07:01:00 AM,Queens,ALLIED TRANSIT CORP.,16-30 Min,4,Yes,Yes,No,03/05/2019 07:01:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1576333,Special Ed AM Run,2503,K221,Heavy Traffic,"171,381,759,417,904",09/16/2019 07:20:00 AM,09/16/2019 07:24:00 AM,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,5,Yes,Yes,No,09/16/2019 07:24:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1623467,General Ed AM Run,2455,K1522,Heavy Traffic,"1,503,915,124",01/29/2020 07:04:00 AM,01/29/2020 07:06:00 AM,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,31-45 Min,0,Yes,No,Yes,01/29/2020 07:06:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1779848,Special Ed AM Run,87052,M114,Mechanical Problem,"234,302,350",12/19/2022 06:29:00 AM,12/19/2022 06:31:00 AM,Manhattan,"BORO TRANSIT, INC.",16-30 Min,0,Yes,No,No,12/19/2022 06:31:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1462240,Special Ed AM Run,8009,X119,Heavy Traffic,"90,530,940,209,565",09/21/2018 07:46:00 AM,09/21/2018 07:47:00 AM,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,6,No,No,No,09/21/2018 07:47:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1487445,Special Ed AM Run,1809,M505,Heavy Traffic,"26,550,266,702,908",11/20/2018 06:05:00 AM,11/20/2018 06:05:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,11/20/2018 06:05:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1547501,Pre-K/EI,7015,1202A,Other,C997,05/06/2019 07:30:00 AM,05/06/2019 08:04:00 AM,Brooklyn,L & M BUS CORP.,46-60 Min,0,Yes,Yes,Yes,05/06/2019 08:04:00 AM,,05/06/2019 11:34:45 AM,Running Late,Pre-K
2021-2022,1730937,Pre-K/EI,9081,0112A,Heavy Traffic,C997,06/17/2022 07:45:00 AM,06/17/2022 08:26:00 AM,Brooklyn,L & M BUS CORP.,31-45 Min,10,Yes,Yes,No,06/17/2022 08:26:00 AM,,06/17/2022 08:59:38 AM,Running Late,Pre-K
2018-2019,1476927,Special Ed AM Run,255,P225,Heavy Traffic,27445,10/26/2018 06:48:00 AM,10/26/2018 06:49:00 AM,Queens,VAN TRANS LLC (B2192),16-30 Min,0,Yes,Yes,Yes,10/26/2018 06:49:00 AM,,04/26/2019 11:49:12 AM,Running Late,School-Age
2020-2021,1649631,Special Ed AM Run,55132,N830,Heavy Traffic,75627,04/20/2021 07:54:00 AM,04/20/2021 08:03:00 AM,Nassau County,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,04/20/2021 08:03:00 AM,,04/20/2021 08:03:43 AM,Running Late,School-Age
2022-2023,1756340,Special Ed AM Run,9153,U915,Heavy Traffic,75958,10/24/2022 06:00:00 AM,10/24/2022 06:11:00 AM,Rockland County,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,10/24/2022 06:11:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1824176,General Ed AM Run,1257,K1619,Mechanical Problem,"1,656,332,123,321,620,000,000,000",05/17/2023 08:56:00 AM,05/17/2023 08:57:00 AM,Brooklyn,LOGAN BUS COMPANY INC.,,0,Yes,No,No,05/17/2023 08:57:00 AM,,01/01/1900 12:00:00 AM,Breakdown,School-Age
2021-2022,1715504,General Ed AM Run,2275,K1406,Heavy Traffic,"14,007,140,371,405,900,000",04/12/2022 07:00:00 AM,04/12/2022 07:01:00 AM,Brooklyn,ALLIED TRANSIT CORP.,16-30 Min,2,No,No,No,04/12/2022 07:01:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1473158,Special Ed AM Run,1410,M639,Heavy Traffic,"262,202,899",10/18/2018 06:20:00 AM,10/18/2018 06:20:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,10/18/2018 06:20:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1543403,Special Ed AM Run,1320,M942,Heavy Traffic,"3,145,031,650,342,100,000",04/17/2019 06:56:00 AM,04/17/2019 06:56:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,04/17/2019 06:56:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1499776,Special Ed AM Run,1433,M664,Heavy Traffic,2699,12/19/2018 06:27:00 AM,12/19/2018 06:27:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,12/19/2018 06:27:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1829029,General Ed PM Run,24995,Q9607,Late return from Field Trip,"2,622,126,700",06/01/2023 02:00:00 PM,06/01/2023 02:33:00 PM,Queens,QUALITY TRANSPORTATION CORP.,46-60 Min,0,No,Yes,No,06/01/2023 02:33:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1668854,Special Ed PM Run,22002,M985,Heavy Traffic,"140,001,450",10/07/2021 02:34:00 PM,10/07/2021 02:35:00 PM,Manhattan,PRIDE TRANSPORTATION (SCH AGE),46-60 Min,0,Yes,Yes,No,10/07/2021 02:35:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1603718,Special Ed AM Run,1713,L672,Heavy Traffic,"17,445,176,681,786,200,000",11/22/2019 08:19:00 AM,11/22/2019 08:21:00 AM,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,9,Yes,Yes,Yes,11/22/2019 08:21:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1747924,Pre-K/EI,9367,E#2,Heavy Traffic,C178,10/04/2022 08:24:00 AM,10/04/2022 08:26:00 AM,Bronx,"G.V.C., LTD.",16-30 Min,16,Yes,Yes,No,10/04/2022 08:26:00 AM,,01/01/1900 12:00:00 AM,Running Late,Pre-K
2018-2019,1541222,Special Ed PM Run,17374,N093,Mechanical Problem,2566,04/10/2019 02:15:00 PM,04/10/2019 02:56:00 PM,Nassau County,HOYT TRANSPORTATION CORP.,,0,Yes,Yes,No,04/10/2019 02:56:00 PM,,01/01/1900 12:00:00 AM,Breakdown,School-Age
2018-2019,1486230,Special Ed AM Run,LK1373,M068,Weather Conditions,"3,475,034,810,374,000,000",11/16/2018 07:30:00 AM,11/16/2018 07:32:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,6,Yes,Yes,No,11/16/2018 07:32:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1700288,Special Ed AM Run,1979,L820,Other,"1,901,219,561,196,540,000,000,000",02/08/2022 07:21:00 AM,02/08/2022 07:22:00 AM,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,2,Yes,Yes,No,02/08/2022 07:22:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1604655,Special Ed AM Run,2856,N131,Flat Tire,"3,087,034,800,356,600,000",11/26/2019 06:16:00 AM,11/26/2019 06:18:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),,0,Yes,Yes,No,11/26/2019 06:18:00 AM,,01/01/1900 12:00:00 AM,Breakdown,School-Age
2018-2019,1560404,Pre-K/EI,2527,NM1,Heavy Traffic,C416,06/11/2019 07:15:00 AM,06/11/2019 08:01:00 AM,Bronx,"DON THOMAS BUSES, INC.",0-15 Min,0,Yes,Yes,No,06/11/2019 08:01:00 AM,,01/01/1900 12:00:00 AM,Running Late,Pre-K
2019-2020,1608616,Special Ed AM Run,344,X289,Other,"1,242,012,595",12/09/2019 06:41:00 AM,12/09/2019 06:43:00 AM,Bronx,"LORINDA ENTERPRISES, LTD.",,0,Yes,No,No,12/09/2019 06:43:00 AM,,12/09/2019 06:45:09 AM,Breakdown,School-Age
2018-2019,1501536,Special Ed PM Run,1320,Q298,Other,26187,12/21/2018 02:08:00 PM,12/21/2018 02:12:00 PM,Queens,FIRST STEPS TRANS INC. (B2192),46-60 Min,0,Yes,Yes,Yes,12/21/2018 02:12:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1718533,Special Ed PM Run,2005,L151,Heavy Traffic,"17,027,173,571,765,200,000",04/29/2022 02:50:00 PM,04/29/2022 03:06:00 PM,Brooklyn,L & M BUS CORP (A),61-90 Min,0,Yes,Yes,No,04/29/2022 03:06:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
